card_id,rarity,expansion_set,market_value,series,set_code,card_name,type,img_src
en-US-SWSH-Energy-001-grass-energy.jpg,00 energy,SWSH,,SWSH,,Grass Energy,energy,en-US-SWSH-Energy-001-grass-energy.jpg
en-US-SWSH-Energy-002-fire-energy.jpg,00 energy,SWSH,,SWSH,,Fire Energy,energy,en-US-SWSH-Energy-002-fire-energy.jpg
en-US-SWSH-Energy-003-water-energy.jpg,00 energy,SWSH,,SWSH,,Water Energy,energy,en-US-SWSH-Energy-003-water-energy.jpg
en-US-SWSH-Energy-004-lightning-energy.jpg,00 energy,SWSH,,SWSH,,Lightning Energy,energy,en-US-SWSH-Energy-004-lightning-energy.jpg
en-US-SWSH-Energy-005-psychic-energy.jpg,00 energy,SWSH,,SWSH,,Psychic Energy,energy,en-US-SWSH-Energy-005-psychic-energy.jpg
en-US-SWSH-Energy-006-fighting-energy.jpg,00 energy,SWSH,,SWSH,,Fighting Energy,energy,en-US-SWSH-Energy-006-fighting-energy.jpg
en-US-SWSH-Energy-007-darkness-energy.jpg,00 energy,SWSH,,SWSH,,Darkness Energy,energy,en-US-SWSH-Energy-007-darkness-energy.jpg
en-US-SWSH-Energy-008-metal-energy.jpg,00 energy,SWSH,,SWSH,,Metal Energy,energy,en-US-SWSH-Energy-008-metal-energy.jpg
en-US-SWSH-Energy-009-fairy-energy.jpg,00 energy,SWSH,,SWSH,,Fairy Energy,energy,en-US-SWSH-Energy-009-fairy-energy.jpg
en-US-SWSH1-001-celebi-v.jpg,04 rare holo,SWSH1,1.65,SWSH,SSH,Celebi V,pokemon,en-US-SWSH1-001-celebi-v.jpg
en-US-SWSH1-002-roselia.jpg,01 common,SWSH1,0.04,SWSH,SSH,Roselia,pokemon,en-US-SWSH1-002-roselia.jpg
en-US-SWSH1-003-roselia.jpg,01 common,SWSH1,0.02,SWSH,SSH,Roselia,pokemon,en-US-SWSH1-003-roselia.jpg
en-US-SWSH1-004-roserade.jpg,03 rare,SWSH1,0.05,SWSH,SSH,Roserade,pokemon,en-US-SWSH1-004-roserade.jpg
en-US-SWSH1-005-cottonee.jpg,01 common,SWSH1,0.02,SWSH,SSH,Cottonee,pokemon,en-US-SWSH1-005-cottonee.jpg
en-US-SWSH1-006-whimsicott.jpg,03 rare,SWSH1,0.07,SWSH,SSH,Whimsicott,pokemon,en-US-SWSH1-006-whimsicott.jpg
en-US-SWSH1-007-maractus.jpg,01 common,SWSH1,0.04,SWSH,SSH,Maractus,pokemon,en-US-SWSH1-007-maractus.jpg
en-US-SWSH1-008-durant.jpg,03 rare,SWSH1,0.05,SWSH,SSH,Durant,pokemon,en-US-SWSH1-008-durant.jpg
en-US-SWSH1-009-dhelmise-v.jpg,04 rare holo,SWSH1,1.5,SWSH,SSH,Dhelmise V,pokemon,en-US-SWSH1-009-dhelmise-v.jpg
en-US-SWSH1-010-grookey.jpg,01 common,SWSH1,0.01,SWSH,SSH,Grookey,pokemon,en-US-SWSH1-010-grookey.jpg
en-US-SWSH1-011-grookey.jpg,01 common,SWSH1,0.03,SWSH,SSH,Grookey,pokemon,en-US-SWSH1-011-grookey.jpg
en-US-SWSH1-012-thwackey.jpg,02 uncommon,SWSH1,0.03,SWSH,SSH,Thwackey,pokemon,en-US-SWSH1-012-thwackey.jpg
en-US-SWSH1-013-thwackey.jpg,02 uncommon,SWSH1,0.02,SWSH,SSH,Thwackey,pokemon,en-US-SWSH1-013-thwackey.jpg
en-US-SWSH1-014-rillaboom.jpg,04 rare holo,SWSH1,0.23,SWSH,SSH,Rillaboom,pokemon,en-US-SWSH1-014-rillaboom.jpg
en-US-SWSH1-015-rillaboom.jpg,03 rare,SWSH1,0.12,SWSH,SSH,Rillaboom,pokemon,en-US-SWSH1-015-rillaboom.jpg
en-US-SWSH1-016-blipbug.jpg,01 common,SWSH1,0.04,SWSH,SSH,Blipbug,pokemon,en-US-SWSH1-016-blipbug.jpg
en-US-SWSH1-017-blipbug.jpg,01 common,SWSH1,0.02,SWSH,SSH,Blipbug,pokemon,en-US-SWSH1-017-blipbug.jpg
